transferType,text,year,season,player,rowId,team,owner,transferTypeId
arrival," , (,, 1.13 M€) - 09 June 2011",2011,1,Jenkinson,1,Charlton B,Arsenal,1
arrival," , (,, B.L.) - 01 June 2011",2011,1,Miyaichi,1,Feyenoord,Arsenal,1
departure," ,, L.) - 13 Augu 2012",2012,1,Miyaichi,1,Wigan,,2
departure," ,, 12.5 M€) - 17 July 2012",2012,1,Vela,1,Real Sociedad,,2
departure," ,, L.) - 06 July 2012",2012,1,Campbell,1,Real Betis,,2
arrival," , (,, B.L.) - 05 Apri 2011",2010,1,Osbourne,2,S Wednesday,Aston Villa,1
arrival," , (,, B.L.) - 01 Marc 2011",2010,1,Guzan,2,Hull City,Aston Villa,1
arrival," , (,, L.) - 30 Janu 2011",2010,1,Bradley,2,M'gladbach,Aston Villa,1
arrival," , (,, 9 M€) - 03 Augu 2009",2009,1,Delph,2,Leeds United,Aston Villa,1
arrival," , (,, 14 M€) - 15 July 2009",2009,1,Downing,2,Middlesbrough,Aston Villa,1
arrival," , (,, B.L.) - 13 May 2009",2009,1,Taylor,2,Cardiff City,Aston Villa,1
arrival," , (,, L.) - 08 Janu 2007",2006,1,Bardsley,2,Man U,Aston Villa,1
arrival," , (,, B.L.) - 02 Janu 2007",2006,1,Berger,2,Stoke City,Aston Villa,1
arrival," , (,, 2 M€) - 31 Janu 2008",2007,1,Routledge,2,Tottenham,Aston Villa,1
arrival," , (,, B.L.) - 18 Dece 2007",2007,1,Cahill,2,Sheffield U,Aston Villa,1
arrival," , (,) - 31 Augu 2007",2007,1,Salifou,2,FC Wil,Aston Villa,1
arrival," , (,) - 30 Augu 2005",2005,1,Bouma,2,PSV Eindhoven,Aston Villa,1
arrival," , (,, 10 M€) - 23 Augu 2005",2005,1,Baros,2,Liverpool,Aston Villa,1
arrival," , (,) - 01 July 2005",2005,1,Gardner,2,,Aston Villa,1
arrival," , (,, 5 M€) - 08 Augu 2008",2008,1,Young,2,Middlesbrough,Aston Villa,1
arrival," , (,, 4.4 M€) - 07 Augu 2008",2008,1,Shorey,2,Reading,Aston Villa,1
departure," ,) - 30 June 2014",2014,1,Bendtner,1,,,2
departure," ,, 0 €) - 13 June 2014",2014,1,Sagna,1,Man City,,2
arrival," , (,, B.L.) - 19 Febr 2015",2014,1,Herd,2,Wigan,Aston Villa,1
arrival," , (,, B.L.) - 17 Marc 2014",2013,1,Bowery,2,Doncaster,Aston Villa,1
arrival," , (,, B.L.) - 10 Marc 2014",2013,1,Gardner,2,S Wednesday,Aston Villa,1
arrival," , (,, L.) - 17 Janu 2014",2013,1,Bertrand,2,Chelsea,Aston Villa,1
departure," ,, L.) - 24 Febr 2012",2011,1,Arshavin,1,Zenit St. Petersburg,,2
departure," ,, B.L.) - 16 Febr 2012",2011,1,Henry,1,Red Bulls,,2
departure," ,, 0 €) - 01 July 2012",2012,1,Almunia,1,,,2
departure," ,, B.L.) - 01 July 2012",2012,1,Benayoun,1,Chelsea,,2
arrival," , (,, L.) - 31 Janu 2013",2012,1,Dawkins,2,Tottenham B,Aston Villa,1
arrival," , (,, 21.5 M€) - 18 Janu 2011",2010,1,Bent,2,Sunderland,Aston Villa,1
arrival," , (,, 6.2 M€) - 15 Janu 2011",2010,1,Makoun,2,Lyon,Aston Villa,1
arrival," , (,, B.L.) - 15 Janu 2011",2010,1,Davies,2,Leicester,Aston Villa,1
departure," ,, L.) - 01 Febr 2010",2009,1,Shorey,2,Fulham,,2
departure," ,, L.) - 28 Janu 2010",2009,1,Lowry,2,Leeds United,,2
arrival," , (,, B.L.) - 01 Janu 2007",2006,1,Hendrie,2,Stoke City,Aston Villa,1
arrival," , (,, L.) - 13 Dece 2006",2006,1,Király,2,Crystal Palace,Aston Villa,1
arrival," , (,, 0 €) - 03 Octo 2006",2006,1,Sutton,2,Birmingham,Aston Villa,1
arrival," , (,, L.) - 31 Augu 2007",2007,1,Davies,2,WBA,Aston Villa,1
arrival," , (,, 5 M€) - 29 Augu 2007",2007,1,Knight,2,Fulham,Aston Villa,1
arrival," , (,, L.) - 10 Augu 2007",2007,1,Carson,2,Liverpool,Aston Villa,1
arrival," , (,, 1.4 M€) - 29 June 2005",2005,1,Phillips,2,Southampton,Aston Villa,1
